Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TRX,Tanzanian Gold Corporation Common Stock,$0.7005,-0.0044,-0.624%,175548267.00,Canada,,3927831,Basic Industries,Precious Metals
TRXC,TransEnterix Inc. Common Stock,$3.72,-0.18,-4.615%,835981397.00,United States,,17947630,Health Care,Medical/Dental Instruments
UAMY,United States Antimony Corporation Common Stock,$1.43,-0.23,-13.855%,131288443.00,United States,,13852729,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$8.10,0.11,1.377%,476292741.00,United States,,2922182,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$2.12,-0.10,-4.505%,422004883.00,Canada,,7015037,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$6.80,0.17,2.564%,66498200.00,United States,2015,8199,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.13,-0.01,-0.877%,212786971.00,Canada,,3234971,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.61,-0.15,-5.435%,334989729.00,,2017,2013522,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$31.25,-0.20,-0.636%,1740529375.00,United States,2004,209133,,
UUU,Universal Security Instruments Inc. Common Stock,$6.97,0.06,0.868%,16120822.00,United States,,565718,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.19,-0.20,-3.711%,696967602.00,,,3392654,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.24,0.00,0.00%,68880304.00,United States,1993,6199,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.00,0.00,0.00%,58869759.00,United States,1993,8195,,
VGZ,Vista Gold Corp Common Stock,$0.9275,-0.0325,-3.385%,95240063.00,United States,,827754,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.06,0.00,0.00%,253071875.00,,2021,423025,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.49,0.07,0.613%,510058921.00,United States,,132203,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.07,0.01,0.077%,150370023.00,United States,1993,8665,,
VNRX,VolitionRX Limited Common Stock,$4.08,-0.13,-3.088%,215118612.00,Singapore,2015,364442,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$2.78,-0.04,-1.418%,60427679.00,United States,,73012,Technology,Professional Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$3.4089,0.3689,12.135%,86369397.00,,2021,134571,Basic Industries,Military/Government/Technical
WRN,Western Copper and Gold Corporation Common Stock,$1.55,-0.10,-6.061%,210176334.00,Canada,2011,859410,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.87,-0.15,-7.426%,40569669.00,United States,,735582,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$10.60,-0.31,-2.841%,89662580.00,United States,,119288,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.9351,-0.046,-4.689%,54337133.00,United States,,6035597,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$4.33,2.40,124.352%,332808277.00,United States,,218287063,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.35,-0.06,-1.76%,465178297.00,United States,,3202752,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$3.74,-0.19,-4.835%,195553803.00,United States,2017,744420,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.7674,0.5474,6.659%,,United States,,14053,,
ZDGE,Zedge Inc. Class B Common Stock ,$10.04,0.09,0.905%,125738821.00,,2016,305790,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$1.87,0.02,1.081%,1770671597.00,United States,2017,57681644,Health Care,Major Pharmaceuticals
