Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.58,0.09,0.783%,289434446.00,United States,2002,106923,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.53,-0.01,-0.08%,1455322136.00,United States,2003,265466,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.27,0.435,3.144%,77084086.00,United States,1999,19673,,
EXN,Excellon Resources Inc. Common Shares,$3.14,-0.26,-7.647%,100696660.00,,2020,100183,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.31,0.05,1.174%,1067568764.00,United States,1986,1330177,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.08,0.05,0.623%,70546044.00,United States,1992,37515,,
FEN,First Trust Energy Income and Growth Fund,$12.32,-0.48,-3.75%,243575825.00,United States,2004,119399,,
FRD,Friedman Industries Inc. Common Stock,$8.37,-0.40,-4.561%,57801956.00,United States,,12169,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.88,0.11,2.918%,47493315.00,Canada,,83258,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$4.96,-0.12,-2.362%,532347867.00,United States,,974590,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.35,-0.01,-0.107%,281798107.00,United States,2003,82890,,
FTSI,FTS International Inc. Class A Common Stock,$19.15,1.10,6.094%,268098583.00,United States,2020,95177,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.39,-0.05,-3.472%,163775161.00,,2020,784566,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.14,-0.07,-5.785%,255620515.00,Canada,,1832870,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$5.86,0.07,1.209%,30073139.00,United States,,317703,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$9.71,-0.30,-2.997%,122887672.00,United States,2017,72798,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.37,-0.05,-1.462%,555751691.00,United States,2005,2174484,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.27,0.04,0.159%,,United States,,6037,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$41.082,0.0219,0.053%,,,,500,,
GLDG,GoldMining Inc. Common Shares,$1.66,-0.04,-2.353%,245064462.00,,,864672,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.18,-0.01,-0.082%,392493338.00,United States,2006,200691,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.19,-0.03,-0.197%,200976293.00,United States,2005,73654,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$18.61,-0.065,-0.348%,100002287.00,United States,2004,5604,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$46.52,0.00,0.00%,,United States,,123,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.10,-0.095,-0.182%,,United States,,3212,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.05,0.10,0.913%,92905350.00,United States,2004,25526,,
GOED,1847 Goedeker Inc. Commom Stock,$11.75,0.18,1.556%,71806600.00,United States,2020,26378,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.69,-0.08,-2.888%,193318722.00,United States,,1012898,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.93,-0.0309,-3.216%,329896871.00,Canada,,5368932,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$7.78,0.02,0.258%,31698217.00,United States,,4597,,
GSAT,Globalstar Inc. Common Stock,$1.77,0.09,5.357%,2956617337.00,United States,2006,33661995,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.14,-0.16,-4.848%,349359041.00,United States,,641685,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.624,-0.026,-4.00%,223065152.00,Canada,,8888417,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.8517,-0.0417,-4.668%,312558191.00,Canada,,13403952,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.53,-0.0205,-0.08%,,United States,,16056,,
HMG,HMG/Courtland Properties Inc. Common Stock,$12.3001,0.00,0.00%,12389251.00,United States,,32,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.54,0.14,0.972%,121158767.00,United States,2007,44721,,
HUSA,Houston American Energy Corporation Common Stock,$2.26,-0.17,-6.996%,20534898.00,United States,,1597485,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$78.50,0.00,0.00%,,United States,,60,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.54,0.09,1.651%,128120816.00,United States,,120578,,
IBIO,iBio Inc. Common Stock,$1.76,-0.09,-4.865%,380177479.00,United States,,6104276,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.35,-0.90,-10.909%,241619916.00,United States,2017,27689,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.76,-0.05,-2.762%,79844728.00,United States,,1759279,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.88,-0.16,-5.263%,26709768.00,United States,,39933,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$3.10,-0.09,-2.821%,65812557.00,United States,1997,26291,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$21.96,-0.71,-3.132%,16120325540.00,Canada,,470924,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$8.34,0.54,6.923%,61782345.00,,2019,52469,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$17.06,-0.65,-3.67%,345242060.00,United States,,90342,Health Care,Medical/Dental Instruments
